,KPI Source/Customer,Measure,score_mean,score_median,score_mode,score_quartile_1,score_quartile_2,score_quartile_3,score_min,score_max,measure_value_mean,measure_value_median,measure_value_mode,measure_value_quartile_1,measure_value_quartile_2,measure_value_quartile_3,measure_value_min,measure_value_max,KPI Source
214,Lummus Technology Inc,High CI P2 Tickets for Accounting Business Process,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Weighted P2 Tickets for Accounting Business Process
215,Lummus Technology Inc,High CI P2 Tickets for Delivery Business Process,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Weighted P2 Tickets for Delivery Business Process
216,Lummus Technology Inc,High CI P2 Tickets for Engineering Business Process,34.48275862068966,0.0,0.0,0.0,0.0,100.0,0.0,100.0,12.916666666666668,9.841269841269842,0.0,0.0,9.841269841269842,24.305555555555557,0.0,100.0,Weighted P2 Tickets for Information Technology Business Process
217,Lummus Technology Inc,High CI P2 Tickets for Finance Business Process,96.55172413793103,100.0,100.0,100.0,100.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Weighted P2 Tickets for Finance Business Process
218,Lummus Technology Inc,High CI P2 Tickets for People (HR) Business Process,96.55172413793103,100.0,100.0,100.0,100.0,100.0,0.0,100.0,1.7241379310344827,0.0,0.0,0.0,0.0,0.0,0.0,100.0,Weighted P2 Tickets for People (HR) Business Process
219,Lummus Technology Inc,High CI P2 Tickets for Quality Management Business Process,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Weighted P2 Tickets for Quality Management Business Process
220,Lummus Technology Inc,High CI P2 Tickets for Sales Business Process,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Weighted P2 Tickets for Sales Business Process 
221,Lummus Technology Inc,High CI P2 Tickets for Service Business Process,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Weighted P2 Tickets for Service Business Process
222,Lummus Technology Inc,High CI P3 Tickets for Accounting Business Process,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Weighted P3 Tickets for Accounting Business Process
223,Lummus Technology Inc,High CI P3 Tickets for Delivery Business Process,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Weighted P3 Tickets for Delivery Business Process
